PitchNo,Date,Time,PAofInning,PitchofPA,Pitcher,PitcherId,PitcherThrows,PitcherTeam,Batter,BatterId,BatterSide,BatterTeam,PitcherSet,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,AutoPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,Notes,RelSpeed,VertRelAngle,HorzRelAngle,SpinRate,SpinAxis,Tilt,RelHeight,RelSide,Extension,VertBreak,InducedVertBreak,HorzBreak,PlateLocHeight,PlateLocSide,ZoneSpeed,VertApprAngle,HorzApprAngle,ZoneTime,ExitSpeed,Angle,Direction,HitSpinRate,PositionAt110X,PositionAt110Y,PositionAt110Z,Distance,LastTrackedDistance,Bearing,HangTime,pfxx,pfxz,x0,y0,z0,vx0,vy0,vz0,ax0,ay0,az0,HomeTeam,AwayTeam,Stadium,Level,League,GameID,PitchUID,EffectiveVelo,MaxHeight,MeasuredDuration,SpeedDrop,PitchLastMeasuredX,PitchLastMeasuredY,PitchLastMeasuredZ,ContactPositionX,ContactPositionY,ContactPositionZ,GameUID,UTCDate,UTCTime,LocalDateTime,UTCDateTime,AutoHitType,System,HomeTeamForeignID,AwayTeamForeignID,GameForeignID,Catcher,CatcherId,CatcherThrows,CatcherTeam,PlayID,PitchTrajectoryXc0,PitchTrajectoryXc1,PitchTrajectoryXc2,PitchTrajectoryYc0,PitchTrajectoryYc1,PitchTrajectoryYc2,PitchTrajectoryZc0,PitchTrajectoryZc1,PitchTrajectoryZc2,HitSpinAxis,HitTrajectoryXc0,HitTrajectoryXc1,HitTrajectoryXc2,HitTrajectoryXc3,HitTrajectoryXc4,HitTrajectoryXc5,HitTrajectoryXc6,HitTrajectoryXc7,HitTrajectoryXc8,HitTrajectoryYc0,HitTrajectoryYc1,HitTrajectoryYc2,HitTrajectoryYc3,HitTrajectoryYc4,HitTrajectoryYc5,HitTrajectoryYc6,HitTrajectoryYc7,HitTrajectoryYc8,HitTrajectoryZc0,HitTrajectoryZc1,HitTrajectoryZc2,HitTrajectoryZc3,HitTrajectoryZc4,HitTrajectoryZc5,HitTrajectoryZc6,HitTrajectoryZc7,HitTrajectoryZc8,ThrowSpeed,PopTime,ExchangeTime,TimeToBase,CatchPositionX,CatchPositionY,CatchPositionZ,ThrowPositionX,ThrowPositionY,ThrowPositionZ,BasePositionX,BasePositionY,BasePositionZ,ThrowTrajectoryXc0,ThrowTrajectoryXc1,ThrowTrajectoryXc2,ThrowTrajectoryYc0,ThrowTrajectoryYc1,ThrowTrajectoryYc2,ThrowTrajectoryZc0,ThrowTrajectoryZc1,ThrowTrajectoryZc2,PitchReleaseConfidence,PitchLocationConfidence,PitchMovementConfidence,HitLaunchConfidence,HitLandingConfidence,CatcherThrowCatchConfidence,CatcherThrowReleaseConfidence,CatcherThrowLocationConfidence,SpinAxis3dTransverseAngle,SpinAxis3dLongitudinalAngle,SpinAxis3dActiveSpinRate,SpinAxis3dSpinEfficiency,SpinAxis3dTilt,SpinAxis3dVectorX,SpinAxis3dVectorY,SpinAxis3dVectorZ,SpinAxis3dSeamOrientationRotationX,SpinAxis3dSeamOrientationRotationY,SpinAxis3dSeamOrientationRotationZ,SpinAxis3dSeamOrientationBallAngleHorizontalAmb1,SpinAxis3dSeamOrientationBallAngleVerticalAmb1,SpinAxis3dSeamOrientationBallXAmb1,SpinAxis3dSeamOrientationBallYAmb1,SpinAxis3dSeamOrientationBallZAmb1,SpinAxis3dSeamOrientationBallAngleHorizontalAmb2,SpinAxis3dSeamOrientationBallAngleVerticalAmb2,SpinAxis3dSeamOrientationBallXAmb2,SpinAxis3dSeamOrientationBallYAmb2,SpinAxis3dSeamOrientationBallZAmb2,SpinAxis3dSeamOrientationBallAngleHorizontalAmb3,SpinAxis3dSeamOrientationBallAngleVerticalAmb3,SpinAxis3dSeamOrientationBallXAmb3,SpinAxis3dSeamOrientationBallYAmb3,SpinAxis3dSeamOrientationBallZAmb3,SpinAxis3dSeamOrientationBallAngleHorizontalAmb4,SpinAxis3dSeamOrientationBallAngleVerticalAmb4,SpinAxis3dSeamOrientationBallXAmb4,SpinAxis3dSeamOrientationBallYAmb4,SpinAxis3dSeamOrientationBallZAmb4,BatSpeed,VerticalAttackAngle,HorizontalAttackAngle
1,2026-05-16,12:04:06.83,1,1,"Miller, Brady",815959,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,85.32838,-1.847065,3.759644,2618.632026,223.098391,1:30,5.8849,-1.76556,5.49324,-33.82659,4.85335,3.54087,1.33388,2.05147,79.36568,-7.989708,4.388753,0.447625,,,,,,,,,,,,-0.86744,3.2626,1.43372,50,5.70001,-8.27965,-123.73139,-5.21047,-1.36108,21.8776,-27.05475,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,de558760-5140-11f1-b1f4-6ba21cbf9799,84.20541,,,5.9627,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:04:06.83,2026-05-16T12:04:06.8390400-04:00,2026-05-16T16:04:06.8390400Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,0c4bc48e-ac87-47b7-9bd8-eda752afe93b,55.00582,-124.61335,10.9388,5.88807,-4.11979,-13.52738,1.7664,-8.22478,-0.68054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,152.81451,-72.217135,799.757833,0.305411,11:00,0.963004,0.170153,-0.208977,68.27801,-17.173522,-50.470618,156.496743,-0.157346,0.3988,-0.002746,-0.917034,0.171581,-23.503163,0.002746,-0.3988,0.917034,-0.171581,23.503163,-0.002746,0.3988,0.917034,-156.496743,0.157346,-0.3988,0.002746,-0.917034,,,
2,2026-05-16,12:04:26.09,1,2,"Miller, Brady",815959,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,1,0,Sinker,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.33613,-0.128919,2.336324,2231.344799,117.019781,10:00,5.82505,-1.82747,5.36488,-25.11206,10.0378,-17.36462,3.61139,-1.08259,81.99189,-4.7871,-0.748402,0.42671,,,,,,,,,,,,9.31052,5.43177,1.63008,50,5.79597,-4.52528,-130.96008,-1.21632,16.07589,29.14901,-22.79535,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,e9bc61f0-5140-11f1-b1f4-6ba21cbf9799,88.33262,,,8.34424,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:04:26.09,2026-05-16T12:04:26.0977152-04:00,2026-05-16T16:04:26.0977152Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,ede5e34a-073a-4c84-ae21-08dd6ab594cf,55.1316,-132.09733,14.5745,5.82608,-0.32696,-11.39768,1.81886,-5.15248,8.03794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,120.824779,-15.467207,2150.532741,0.963783,10:00,0.284736,0.828236,-0.48265,-99.158803,25.670505,81.023205,98.123728,4.87255,0.986388,0.08494,-0.140801,31.100968,80.535471,0.08494,0.986388,0.140801,-31.100968,-80.535471,-0.08494,-0.986388,0.140801,-98.123728,-4.87255,-0.986388,-0.08494,-0.140801,,,
3,2026-05-16,12:04:43.85,1,3,"Miller, Brady",815959,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,2,0,Fastball,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,90.06154,-0.17053,1.944456,2341.373117,132.555618,10:30,5.88266,-1.9055,5.76071,-20.80718,14.25654,-14.16552,3.98991,-1.27543,81.16552,-4.109252,-0.590645,0.426187,,,,,,,,,,,,7.73709,7.65882,1.75264,50,5.85608,-3.79049,-130.55676,-1.05282,13.17934,30.84389,-19.12801,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,f44e3940-5140-11f1-b1f4-6ba21cbf9799,88.44104,,,8.89601,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:04:43.85,2026-05-16T12:04:43.8541312-04:00,2026-05-16T16:04:43.8541312Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,ab27bbe1-073a-454f-9f67-cd40a3c626ae,54.73384,-131.67037,15.42195,5.88162,-0.3622,-9.564,1.89809,-4.26633,6.58967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,130.94549,-23.097008,2153.693286,0.919842,10:15,0.410448,0.695952,-0.589222,45.654774,45.339953,-53.803248,168.726925,3.431565,0.195135,0.059856,-0.978948,3.498908,11.252598,0.059856,0.195135,0.978948,-3.498908,-11.252598,-0.059856,-0.195135,0.978948,-168.726925,-3.431565,-0.195135,-0.059856,-0.978948,,,
4,2026-05-16,12:04:59.52,1,4,"Miller, Brady",815959,Left,BOC_EAG,"Kerce, Carson",812668,Right,GIT_YEL,Undefined,1,Top,0,3,0,Fastball,Sinker,BallCalled,Walk,Undefined,Undefined,0,0,,90.83777,-0.869748,4.068149,2234.974397,138.916402,10:45,5.86711,-1.60497,5.43443,-19.08647,16.05473,-12.85611,3.45997,1.13977,81.5348,-4.482281,1.788478,0.426658,,,,,,,,,,,,7.67839,8.69311,1.253,50,5.77713,-8.72182,-131.27999,-2.62056,13.19505,31.75972,-17.23528,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,fdb0b850-5140-11f1-b1f4-6ba21cbf9799,88.3435,,,9.30297,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:04:59.52,2026-05-16T12:04:59.5252736-04:00,2026-05-16T16:04:59.5252736Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,dc42d75b-9a9b-437e-8e81-34290ce8e596,55.05874,-132.49816,15.87986,5.86496,-1.95948,-8.61764,1.59723,-9.22793,6.59753,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,129.627739,-19.420569,2107.811849,0.943103,10:15,0.363298,0.731346,-0.577189,57.343469,5.595909,-37.247045,174.45586,3.655749,0.096416,0.063762,-0.993297,3.672884,5.532823,0.063762,0.096416,0.993297,-3.672884,-5.532823,-0.063762,-0.096416,0.993297,-174.45586,-3.655749,-0.096416,-0.063762,-0.993297,,,
5,2026-05-16,12:05:35.16,2,1,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,0,0,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.8187,-0.467628,3.353837,1905.860186,84.41248,8:45,5.53004,-2.17508,5.3889,-42.5364,-0.47465,-23.178,1.54629,-0.95958,74.3318,-8.297571,-0.769301,0.466783,,,,,,,,,,,,12.72012,0.56287,1.89129,50,5.4593,-6.04965,-121.0464,-2.55218,18.19426,31.53251,-31.36893,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,12ecd0f0-5141-11f1-b1f4-6ba21cbf9799,80.74936,,,9.48689,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:05:35.16,2026-05-16T12:05:35.1671808-04:00,2026-05-16T16:05:35.1671808Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,d6a64224-9acf-449a-b145-3fc8f6afff69,55.10442,-122.36887,15.76625,5.53875,-1.23657,-15.68447,2.16101,-6.81272,9.09713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,91.703314,-0.244969,1905.842767,0.999991,9:00,-0.002137,0.999551,-0.0299,-84.893555,23.340793,86.308466,105.35511,-68.069217,0.360154,-0.927636,-0.098899,83.914428,-21.109651,0.927636,-0.360154,0.098899,-83.914428,21.109651,-0.927636,0.360154,0.098899,-105.35511,68.069217,-0.360154,0.927636,-0.098899,,,
6,2026-05-16,12:05:55.78,2,2,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,0,1,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,77.91405,-0.906456,-0.815983,2761.718246,268.804451,3:00,5.73916,-1.61862,5.01488,-46.6114,2.46973,21.85186,0.99922,-0.5678,69.69205,-9.408248,3.052472,0.50423,,,,,,,,,,,,-11.12851,2.12681,1.67824,50,5.61532,0.69468,-112.66751,-3.40914,-13.82706,26.831,-29.53151,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,1f3d2120-5141-11f1-b1f4-6ba21cbf9799,74.75248,,,8.222,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:05:55.78,2026-05-16T12:05:55.7817856-04:00,2026-05-16T16:05:55.7817856Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,90d4767f-a71f-401d-8290-f3d1034b5bb2,55.48092,-113.96528,13.4155,5.74567,-1.98075,-14.76575,1.62847,1.36347,-6.91353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,302.038902,-63.421346,1235.664343,0.447426,4:00,0.903498,-0.365082,0.224513,56.649902,0.610307,-21.780319,124.250057,76.409218,0.194237,0.971999,-0.132251,82.251847,11.200136,0.971999,0.194237,0.132251,-82.251847,-11.200136,-0.971999,-0.194237,0.132251,-124.250057,-76.409218,-0.194237,-0.971999,-0.132251,,,
7,2026-05-16,12:06:13.98,2,3,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,1,1,ChangeUp,Changeup,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,83.76506,0.209175,2.465791,2004.408299,82.138232,8:45,5.48358,-2.01765,5.58232,-42.34656,-1.46315,-21.21938,2.15023,-1.48176,75.76916,-7.569136,-1.324301,0.460198,,,,,,,,,,,,11.4289,-0.30937,1.81933,50,5.47443,-4.32254,-121.41476,-1.0718,16.79434,27.22959,-32.62865,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,2a0d39f0-5141-11f1-b1f4-6ba21cbf9799,81.90479,,,7.9959,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:06:13.98,2026-05-16T12:06:13.9807232-04:00,2026-05-16T16:06:13.9807232Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,c3d20f3a-5258-48e6-a23f-90599d1e1f6a,54.91569,-122.51223,13.61479,5.49112,0.24329,-16.31432,2.00719,-4.99943,8.39717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,86.225157,-0.815418,2004.205314,0.999899,8:45,0.015025,0.997671,0.066537,62.845891,-16.624444,-83.015415,95.680761,-68.12963,0.370678,-0.928029,-0.036873,87.724692,-21.757466,0.928029,-0.370678,0.036873,-87.724692,21.757466,-0.928029,0.370678,0.036873,-95.680761,68.12963,-0.370678,0.928029,-0.036873,,,
8,2026-05-16,12:06:37.61,2,4,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,1,2,ChangeUp,Changeup,BallCalled,Undefined,Undefined,Undefined,0,0,,84.06794,-0.059116,2.141121,1921.32158,82.279289,8:45,5.51173,-1.99699,5.32401,-42.2866,-1.01784,-19.0858,1.93234,-1.57734,75.55837,-7.805024,-1.252635,0.462362,,,,,,,,,,,,10.18245,0.045,1.81708,50,5.47652,-3.70054,-121.70739,-1.69804,14.93201,28.85936,-32.10805,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,38235600-5141-11f1-b1f4-6ba21cbf9799,81.52147,,,8.50957,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:06:37.61,2026-05-16T12:06:37.6138752-04:00,2026-05-16T16:06:37.6138752Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,93da0e9e-34fa-45ac-a0c8-10e9f5a1bc53,55.17185,-122.92763,14.42968,5.51962,-0.34045,-16.05403,1.9869,-4.33189,7.46601,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,90.383598,-2.695001,1919.196562,0.998894,9:00,0.046206,0.99892,-0.004965,-90.966009,29.754369,82.871068,98.09997,-60.234654,0.491496,-0.868066,-0.06995,85.392976,-29.438977,0.868066,-0.491496,0.06995,-85.392976,29.438977,-0.868066,0.491496,0.06995,-98.09997,60.234654,-0.491496,0.868066,-0.06995,,,
9,2026-05-16,12:06:59.94,2,5,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.70115,-1.746907,2.450912,2283.124574,139.129105,10:45,6.01951,-1.58169,5.41015,-15.52528,18.78202,-15.17926,3.08708,-0.549,82.67229,-4.712276,-0.246749,0.421565,,,,,,,,,,,,8.33264,10.31335,1.37427,50,5.85354,-4.96206,-132.77152,-4.5295,14.69081,31.69701,-13.99109,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,456c8520-5141-11f1-b1f4-6ba21cbf9799,89.41074,,,9.02887,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:06:59.94,2026-05-16T12:06:59.9444992-04:00,2026-05-16T16:06:59.9444992Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,18c9f79a-037a-4cbb-9686-b3c93da3986e,55.08522,-133.98003,15.84851,6.01607,-3.99607,-6.99555,1.57414,-5.52218,7.3454,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,131.592871,-17.514342,2177.28268,0.953642,10:30,0.305879,0.722053,-0.620546,54.77817,-4.023722,-32.740895,169.811562,3.010461,0.176642,0.052518,-0.982873,3.058602,10.174228,0.052518,0.176642,0.982873,-3.058602,-10.174228,-0.052518,-0.176642,0.982873,-169.811562,-3.010461,-0.176642,-0.052518,-0.982873,,,
10,2026-05-16,12:07:24.10,2,6,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,2,2,Fastball,Four-Seam,FoulBallNotFieldable,Undefined,Undefined,Undefined,0,0,,91.83236,-1.617635,1.826964,2431.459069,137.023905,10:30,5.97095,-1.5245,5.52182,-15.81572,17.95111,-15.67202,3.13941,-1.12183,83.47302,-4.621224,-0.965666,0.418231,92.74933,50.117801,55.82513,4304.981685,,,,,93.79747,,,8.45682,9.87375,1.37636,50,5.8199,-3.53469,-133.19422,-4.26243,15.1161,29.94441,-14.52529,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,53d3ce70-5141-11f1-b1f4-6ba21cbf9799,90.12344,100.72556,,8.35934,,,,0.9774,3.20331,0.97563,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:07:24.10,2026-05-16T12:07:24.1093120-04:00,2026-05-16T16:07:24.1093120Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,e2685c80-457b-4a9d-80b1-277c49740a1a,54.97642,-134.30834,14.97221,5.96843,-3.722,-7.26264,1.51834,-4.09711,7.55805,,0.9774,48.99417,-20.58819,5.34115,1.09469,-3.98015,3.84928,-1.80377,0.33508,3.20331,104.38664,-26.73111,3.16029,-1.31679,1.44605,-1.24956,0.57458,-0.10646,0.97563,72.16394,-8.90239,1.53637,-0.46548,0.47096,-0.40726,0.18788,-0.03498,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Undefined,,,,132.917467,-16.96708,2325.623939,0.956473,10:30,0.292559,0.708417,-0.642304,46.524818,14.012946,-34.717712,179.832178,-1.990865,0.002927,-0.03474,-0.999392,1.990873,-0.167721,0.03474,-0.002927,0.999392,-1.990873,0.167721,-0.03474,0.002927,0.999392,-179.832178,1.990865,-0.002927,0.03474,-0.999392,74.0901,7.33249,10.74659
11,2026-05-16,12:07:49.59,2,7,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,2,2,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,78.91815,-1.233476,0.235218,2706.139866,266.31488,3:00,5.75048,-1.76294,5.03666,-43.68081,2.46473,16.80214,0.94656,-0.14086,73.05936,-9.10881,3.210014,0.488918,,,,,,,,,,,,-8.33489,1.94303,1.72627,50,5.59757,-1.14913,-114.59124,-4.01583,-11.11522,20.59251,-29.58286,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,63154b20-5141-11f1-b1f4-6ba21cbf9799,77.09357,,,5.8588,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:07:49.59,2026-05-16T12:07:49.5952384-04:00,2026-05-16T16:07:49.5952384Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,30a604f0-ede6-4aa1-be61-e9505d2ccd92,55.46424,-115.56902,10.29626,5.7549,-2.61117,-14.79143,1.76831,-0.62136,-5.55761,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,295.076789,-65.418403,1125.723681,0.415989,3:45,0.916538,-0.357115,0.180074,52.6745,4.936164,-20.380179,130.722616,74.634988,0.200813,0.964257,-0.172864,79.836451,11.584483,0.964257,0.200813,0.172864,-79.836451,-11.584483,-0.964257,-0.200813,0.172864,-130.722616,-74.634988,-0.200813,-0.964257,-0.172864,,,
12,2026-05-16,12:08:07.11,2,8,"Miller, Brady",815959,Left,BOC_EAG,"Burress, Drew",806039,Right,GIT_YEL,Undefined,1,Top,0,3,2,ChangeUp,Changeup,InPlay,Undefined,LineDrive,Double,0,0,,84.21595,0.228058,4.270162,1835.824096,93.219247,9:00,5.47152,-1.99242,5.46109,-37.87041,2.4611,-19.96741,2.52971,0.3479,76.74506,-6.714023,0.723617,0.457082,101.7953,10.678347,-30.872539,1615.391228,91.89892,12.80632,-60.45217,202.71145,191.13184,-36.217516,1.675543,11.37375,1.52221,1.6302,50,5.46553,-8.28061,-121.97615,-0.85506,17.06142,24.95868,-29.89062,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,6d7934a0-5141-11f1-b1f4-6ba21cbf9799,82.46327,12.85807,,7.4709,,,,2.25744,2.70529,-0.45108,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:08:07.11,2026-05-16T12:08:07.1126528-04:00,2026-05-16T16:08:07.1126528Z,LineDrive,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,dc45da1e-1c97-49ac-99ab-b0b4d078f47d,55.03968,-123.00304,12.47934,5.47541,0.37475,-14.94531,1.98533,-8.98258,8.53071,,2.25744,125.9263,-22.80759,4.23314,-0.96327,0.20662,-0.04296,0.00706,-0.00061,2.70529,27.66449,-20.32583,2.30254,-0.50615,0.11884,-0.02389,0.00389,-0.00035,-0.45108,-75.2834,2.06437,0.40288,-0.17939,0.05891,-0.01427,0.00254,-0.00023,,,,,,,,,,,,,,,,,,,,,,,High,High,High,High,Medium,,,,89.249398,-0.268315,1835.803966,0.999989,9:00,0.007663,0.999877,0.013709,-87.173855,20.558974,84.075893,107.601596,-67.977873,0.35741,-0.927039,-0.113388,83.026677,-20.941198,0.927039,-0.35741,0.113388,-83.026677,20.941198,-0.927039,0.35741,0.113388,-107.601596,67.977873,-0.35741,0.927039,-0.113388,79.75049,13.3765,-19.12037
13,2026-05-16,12:08:50.75,3,1,"Miller, Brady",815959,Left,BOC_EAG,"Advincula, Jarren",814181,Left,GIT_YEL,Undefined,1,Top,0,0,0,Slider,Slider,BallCalled,Undefined,Undefined,Undefined,0,1,,77.71302,-1.223354,3.304381,2617.563193,261.173021,2:45,5.67414,-1.88822,5.0327,-43.93806,4.30299,17.67387,0.85634,2.70566,71.45155,-9.142666,6.41781,0.499896,,,,,,,,,,,,-7.76174,2.99843,1.55758,50,5.52224,-7.2163,-112.50031,-3.93443,-9.87703,21.75603,-28.35846,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,8786d280-5141-11f1-b1f4-6ba21cbf9799,75.40056,,,6.26147,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:08:50.75,2026-05-16T12:08:50.7586560-04:00,2026-05-16T16:08:50.7586560Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,aab07f55-c136-433f-a05d-3208a7478711,55.46531,-113.55231,10.87802,5.67933,-2.56318,-14.17923,1.89497,-6.7387,-4.93851,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,295.642649,-65.545663,1083.587127,0.413968,3:45,0.906199,-0.353677,0.231766,37.257607,1.561107,-21.946187,140.33321,75.027158,0.164918,0.966048,-0.198879,78.367147,9.492445,0.966048,0.164918,0.198879,-78.367147,-9.492445,-0.966048,-0.164918,0.198879,-140.33321,-75.027158,-0.164918,-0.966048,-0.198879,,,
14,2026-05-16,12:09:59.94,3,2,"Miller, Brady",815959,Left,BOC_EAG,"Advincula, Jarren",814181,Left,GIT_YEL,Undefined,1,Top,0,1,0,Cutter,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,83.68819,0.478373,0.711048,2471.691558,244.504197,2:15,5.72604,-1.73722,5.33468,-36.31423,4.0804,6.11898,3.14871,-0.56016,77.24999,-6.151119,1.798433,0.457439,,,,,,,,,,,,-2.88256,2.29917,1.66853,50,5.74313,-1.76831,-121.5936,-0.29452,-4.35115,22.00309,-28.70351,BOC_EAG,GIT_YEL,HarringtonVillage,D1,ACC,20260516-HarringtonVillage-1,b0b804d0-5141-11f1-b1f4-6ba21cbf9799,82.3988,,,6.4382,,,,,,,73f0cb14-48f0-42ce-85bb-8a4ada2a1c20,2026-05-16,16:09:59.94,2026-05-16T12:09:59.9410688-04:00,2026-05-16T16:09:59.9410688Z,,v3,227,100,26605,"Gonzalez, Cesar",831498,Right,BOC_EAG,a0fbdc28-68cc-479a-a191-94d78f852616,55.16426,-122.52454,11.00154,5.7299,0.91991,-14.35176,1.73945,-1.58422,-2.17558,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,High,High,High,,,,,,156.742312,-75.856716,603.951996,0.244348,11:15,0.973171,0.088385,-0.212431,73.821301,-15.286057,-64.34896,164.125256,-1.623679,0.273425,-0.028335,-0.961476,1.688021,-15.868202,0.028335,-0.273425,0.961476,-1.688021,15.868202,-0.028335,0.273425,0.961476,-164.125256,1.623679,-0.273425,0.028335,-0.961476,,,
